"Var1","Var2","value"
"log(Fecal (MPN/mL))","log(Raw Flow (MLD))",-0.4
"Cumulative 3-day pre-sampling-day precip (mm)","log(Raw Flow (MLD))",0.774596669241483
"log(Mean temp (K))","log(Raw Flow (MLD))",1
"Adeno_logGCpermLsample","log(TS (mg/L))",-0.410241841233154
"CrAss_logGCpermLsample","log(TS (mg/L))",0.237508434398142
"PMMV_logGCpermLsample","log(TS (mg/L))",0.777300330757555
"uidA_logGCpermLsample","log(TS (mg/L))",0.323875137815648
"log(Raw Flow (MLD))","log(TS (mg/L))",1
"log(TS (mg/L))","log(TS (mg/L))",1
"pH_Grab","log(TS (mg/L))",0.4
"log(Turbidity (NTU))","log(TS (mg/L))",0.2
"log(TSS (mg/L))","log(TS (mg/L))",-0.632455532033676
"log(BOD (mg/L))","log(TS (mg/L))",-1
"log(cBOD (mg/L))","log(TS (mg/L))",-0.948683298050514
"log(sCOD (mg/L))","log(TS (mg/L))",-0.8
"log(COD (mg/L))","log(TS (mg/L))",-0.8
"log(NH4-N (mg/L))","log(TS (mg/L))",-1
"log(NOx-N (mg/L))","log(TS (mg/L))",1
"log(PO4-P (mg/L))","log(TS (mg/L))",0.8
"log(TP (mg/L))","log(TS (mg/L))",0.6
"log(TOC (mg/L))","log(TS (mg/L))",-1
"log(TN (mg/L))","log(TS (mg/L))",-1
"log(Grab Flow (MLD))","log(TS (mg/L))",0.4
"log(Grab Temp (C))","log(TS (mg/L))",0.316227766016838
"log(Filtered UVT_Grab (%))","log(TS (mg/L))",0.8
"log(E-coli (MPN/mL))","log(TS (mg/L))",-0.948683298050514
"log(Fecal (MPN/mL))","log(TS (mg/L))",-0.4
"Cumulative 3-day pre-sampling-day precip (mm)","log(TS (mg/L))",0.774596669241483
"log(Mean temp (K))","log(TS (mg/L))",1
"Adeno_logGCpermLsample","pH_Grab",0.518200220505037
"CrAss_logGCpermLsample","pH_Grab",-0.734116979048802
"PMMV_logGCpermLsample","pH_Grab",0.777300330757555
"uidA_logGCpermLsample","pH_Grab",-0.518200220505037
"log(Raw Flow (MLD))","pH_Grab",0.4
"log(TS (mg/L))","pH_Grab",0.4
"pH_Grab","pH_Grab",1
"log(Turbidity (NTU))","pH_Grab",0.8
"log(TSS (mg/L))","pH_Grab",0.316227766016838
"log(BOD (mg/L))","pH_Grab",-0.4
"log(cBOD (mg/L))","pH_Grab",-0.632455532033676
"log(sCOD (mg/L))","pH_Grab",-0.8
"log(COD (mg/L))","pH_Grab",-0.8
"log(NH4-N (mg/L))","pH_Grab",-0.4
"log(NOx-N (mg/L))","pH_Grab",0.4
"log(PO4-P (mg/L))","pH_Grab",0
"log(TP (mg/L))","pH_Grab",0.4
"log(TOC (mg/L))","pH_Grab",-0.4
"log(TN (mg/L))","pH_Grab",-0.4
"log(Grab Flow (MLD))","pH_Grab",0.4
"log(Grab Temp (C))","pH_Grab",-0.737864787372622
"log(Filtered UVT_Grab (%))","pH_Grab",0.8
"log(E-coli (MPN/mL))","pH_Grab",-0.210818510677892
"log(Fecal (MPN/mL))","pH_Grab",0.6
"Cumulative 3-day pre-sampling-day precip (mm)","pH_Grab",0.774596669241483
"log(Mean temp (K))","pH_Grab",0.4
"Adeno_logGCpermLsample","log(Turbidity (NTU))",0.626158599776919
"CrAss_logGCpermLsample","log(Turbidity (NTU))",-0.626158599776919
"PMMV_logGCpermLsample","log(Turbidity (NTU))",0.388650165378777
"uidA_logGCpermLsample","log(Turbidity (NTU))",-0.194325082689389
"log(Raw Flow (MLD))","log(Turbidity (NTU))",0.2
"log(TS (mg/L))","log(Turbidity (NTU))",0.2
"pH_Grab","log(Turbidity (NTU))",0.8
"log(Turbidity (NTU))","log(Turbidity (NTU))",1
"log(TSS (mg/L))","log(Turbidity (NTU))",0.632455532033676
"log(BOD (mg/L))","log(Turbidity (NTU))",-0.2
"log(cBOD (mg/L))","log(Turbidity (NTU))",-0.316227766016838
"log(sCOD (mg/L))","log(Turbidity (NTU))",-0.4
"log(COD (mg/L))","log(Turbidity (NTU))",-0.4
"log(NH4-N (mg/L))","log(Turbidity (NTU))",-0.2
"log(NOx-N (mg/L))","log(Turbidity (NTU))",0.2
"log(PO4-P (mg/L))","log(Turbidity (NTU))",-0.4
"log(TP (mg/L))","log(Turbidity (NTU))",-0.2
"log(TOC (mg/L))","log(Turbidity (NTU))",-0.2
"log(TN (mg/L))","log(Turbidity (NTU))",-0.2
"log(Grab Flow (MLD))","log(Turbidity (NTU))",0.8
"log(Grab Temp (C))","log(Turbidity (NTU))",-0.737864787372622
"log(Filtered UVT_Grab (%))","log(Turbidity (NTU))",0.4
"log(E-coli (MPN/mL))","log(Turbidity (NTU))",0.105409255338946
"log(Fecal (MPN/mL))","log(Turbidity (NTU))",0.8
"Cumulative 3-day pre-sampling-day precip (mm)","log(Turbidity (NTU))",0.774596669241483
"log(Mean temp (K))","log(Turbidity (NTU))",0.2
"Adeno_logGCpermLsample","log(TSS (mg/L))",0.819346490398703
"CrAss_logGCpermLsample","log(TSS (mg/L))",-0.682788741998919
"PMMV_logGCpermLsample","log(TSS (mg/L))",-0.307254933899514
"uidA_logGCpermLsample","log(TSS (mg/L))",-0.409673245199351
"log(Raw Flow (MLD))","log(TSS (mg/L))",-0.632455532033676
"log(TS (mg/L))","log(TSS (mg/L))",-0.632455532033676
"pH_Grab","log(TSS (mg/L))",0.316227766016838
"log(Turbidity (NTU))","log(TSS (mg/L))",0.632455532033676
"log(TSS (mg/L))","log(TSS (mg/L))",1
"log(BOD (mg/L))","log(TSS (mg/L))",0.632455532033676
"log(cBOD (mg/L))","log(TSS (mg/L))",0.5
"log(sCOD (mg/L))","log(TSS (mg/L))",0.316227766016838
"log(COD (mg/L))","log(TSS (mg/L))",0.316227766016838
"log(NH4-N (mg/L))","log(TSS (mg/L))",0.632455532033676
"log(NOx-N (mg/L))","log(TSS (mg/L))",-0.632455532033676
"log(PO4-P (mg/L))","log(TSS (mg/L))",-0.948683298050514
"log(TP (mg/L))","log(TSS (mg/L))",-0.632455532033676
"log(TOC (mg/L))","log(TSS (mg/L))",0.632455532033676
"log(TN (mg/L))","log(TSS (mg/L))",0.632455532033676
"log(Grab Flow (MLD))","log(TSS (mg/L))",0.316227766016838
"log(Grab Temp (C))","log(TSS (mg/L))",-0.833333333333333
"log(Filtered UVT_Grab (%))","log(TSS (mg/L))",-0.316227766016838
"log(E-coli (MPN/mL))","log(TSS (mg/L))",0.833333333333333
"log(Fecal (MPN/mL))","log(TSS (mg/L))",0.948683298050514
"Cumulative 3-day pre-sampling-day precip (mm)","log(TSS (mg/L))",0
"log(Mean temp (K))","log(TSS (mg/L))",-0.632455532033676
"Adeno_logGCpermLsample","log(BOD (mg/L))",0.410241841233154
"CrAss_logGCpermLsample","log(BOD (mg/L))",-0.237508434398142
"PMMV_logGCpermLsample","log(BOD (mg/L))",-0.777300330757555
"uidA_logGCpermLsample","log(BOD (mg/L))",-0.323875137815648
"log(Raw Flow (MLD))","log(BOD (mg/L))",-1
"log(TS (mg/L))","log(BOD (mg/L))",-1
"pH_Grab","log(BOD (mg/L))",-0.4
"log(Turbidity (NTU))","log(BOD (mg/L))",-0.2
"log(TSS (mg/L))","log(BOD (mg/L))",0.632455532033676
"log(BOD (mg/L))","log(BOD (mg/L))",1
"log(cBOD (mg/L))","log(BOD (mg/L))",0.948683298050514
"log(sCOD (mg/L))","log(BOD (mg/L))",0.8
"log(COD (mg/L))","log(BOD (mg/L))",0.8
"log(NH4-N (mg/L))","log(BOD (mg/L))",1
"log(NOx-N (mg/L))","log(BOD (mg/L))",-1
"log(PO4-P (mg/L))","log(BOD (mg/L))",-0.8
"log(TP (mg/L))","log(BOD (mg/L))",-0.6
"log(TOC (mg/L))","log(BOD (mg/L))",1
"log(TN (mg/L))","log(BOD (mg/L))",1
"log(Grab Flow (MLD))","log(BOD (mg/L))",-0.4
"log(Grab Temp (C))","log(BOD (mg/L))",-0.316227766016838
"log(Filtered UVT_Grab (%))","log(BOD (mg/L))",-0.8
"log(E-coli (MPN/mL))","log(BOD (mg/L))",0.948683298050514
"log(Fecal (MPN/mL))","log(BOD (mg/L))",0.4
"Cumulative 3-day pre-sampling-day precip (mm)","log(BOD (mg/L))",-0.774596669241483
"log(Mean temp (K))","log(BOD (mg/L))",-1
"Adeno_logGCpermLsample","log(cBOD (mg/L))",0.216216434966324
"CrAss_logGCpermLsample","log(cBOD (mg/L))",0.0341394370999459
"PMMV_logGCpermLsample","log(cBOD (mg/L))",-0.921764801698541
"uidA_logGCpermLsample","log(cBOD (mg/L))",-0.0341394370999459
"log(Raw Flow (MLD))","log(cBOD (mg/L))",-0.948683298050514
"log(TS (mg/L))","log(cBOD (mg/L))",-0.948683298050514
"pH_Grab","log(cBOD (mg/L))",-0.632455532033676
"log(Turbidity (NTU))","log(cBOD (mg/L))",-0.316227766016838
"log(TSS (mg/L))","log(cBOD (mg/L))",0.5
"log(BOD (mg/L))","log(cBOD (mg/L))",0.948683298050514
"log(cBOD (mg/L))","log(cBOD (mg/L))",1
"log(sCOD (mg/L))","log(cBOD (mg/L))",0.948683298050514
"log(COD (mg/L))","log(cBOD (mg/L))",0.948683298050514
"log(NH4-N (mg/L))","log(cBOD (mg/L))",0.948683298050514
"log(NOx-N (mg/L))","log(cBOD (mg/L))",-0.948683298050514
"log(PO4-P (mg/L))","log(cBOD (mg/L))",-0.737864787372622
"log(TP (mg/L))","log(cBOD (mg/L))",-0.737864787372622
"log(TOC (mg/L))","log(cBOD (mg/L))",0.948683298050514
"log(TN (mg/L))","log(cBOD (mg/L))",0.948683298050514
"log(Grab Flow (MLD))","log(cBOD (mg/L))",-0.316227766016838
"log(Grab Temp (C))","log(cBOD (mg/L))",-0.0555555555555556
"log(Filtered UVT_Grab (%))","log(cBOD (mg/L))",-0.948683298050514
"log(E-coli (MPN/mL))","log(cBOD (mg/L))",0.888888888888889
"log(Fecal (MPN/mL))","log(cBOD (mg/L))",0.210818510677892
"Cumulative 3-day pre-sampling-day precip (mm)","log(cBOD (mg/L))",-0.816496580927726
"log(Mean temp (K))","log(cBOD (mg/L))",-0.948683298050514
"Adeno_logGCpermLsample","log(sCOD (mg/L))",0
"CrAss_logGCpermLsample","log(sCOD (mg/L))",0.302283461961271
"PMMV_logGCpermLsample","log(sCOD (mg/L))",-0.971625413446944
"uidA_logGCpermLsample","log(sCOD (mg/L))",0.259100110252518
"log(Raw Flow (MLD))","log(sCOD (mg/L))",-0.8
"log(TS (mg/L))","log(sCOD (mg/L))",-0.8
"pH_Grab","log(sCOD (mg/L))",-0.8
"log(Turbidity (NTU))","log(sCOD (mg/L))",-0.4
"log(TSS (mg/L))","log(sCOD (mg/L))",0.316227766016838
"log(BOD (mg/L))","log(sCOD (mg/L))",0.8
"log(cBOD (mg/L))","log(sCOD (mg/L))",0.948683298050514
"log(sCOD (mg/L))","log(sCOD (mg/L))",1
"log(COD (mg/L))","log(sCOD (mg/L))",1
"log(NH4-N (mg/L))","log(sCOD (mg/L))",0.8
"log(NOx-N (mg/L))","log(sCOD (mg/L))",-0.8
"log(PO4-P (mg/L))","log(sCOD (mg/L))",-0.6
"log(TP (mg/L))","log(sCOD (mg/L))",-0.8
